"","POVST","Q1A","Q1B","Q1C","Q1D"
"521","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"522","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"523","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"524","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"525","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"526","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"527","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"528","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"529","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"530","(1) 25 percent or less","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(4) Less than once a week"
"531","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"532","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"533","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"534","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"535","(1) 25 percent or less","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(2) 3 or 4 times a week"
"536","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"537","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"538","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"539","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"540","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"541","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"542","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"543","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"544","(4) 76 percent or more","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"545","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"546","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"547","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"548","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"549","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"550","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"551","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"552","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"553","(4) 76 percent or more","(3) Once or twice a week","(1) Every day","(5) Not at all","(5) Not at all"
"554","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"555","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"556","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"557","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"558","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"559","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"560","(4) 76 percent or more","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"561","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"562","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"563","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"564","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"565","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"566","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"567","(3) 51 to 75 percent","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"568","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"569","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"570","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"571","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"572","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"573","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"574","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"575","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"576","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"577","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"578","(2) 26 to 50 percent","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"579","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"580","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"581","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"582","(3) 51 to 75 percent","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"583","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"584","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"585","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"586","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"587","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"588","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"589","(3) 51 to 75 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"590","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"591","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"592","(3) 51 to 75 percent","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"593","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"594","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"595","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"596","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"597","(1) 25 percent or less","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"598","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"599","(3) 51 to 75 percent","(3) Once or twice a week","(4) Less than once a week","(4) Less than once a week","(4) Less than once a week"
"600","(1) 25 percent or less","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"601","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"602","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"603","(3) 51 to 75 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"604","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"605","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"606","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"607","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"608","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"609","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"610","(3) 51 to 75 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"611","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"612","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"613","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(5) Not at all"
"614","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"615","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"616","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"617","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"618","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"619","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"620","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"621","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"622","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"623","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"624","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"625","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"626","(2) 26 to 50 percent","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"627","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"628","(3) 51 to 75 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"629","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"630","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"631","(1) 25 percent or less","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"632","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"633","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"634","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"635","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"636","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"637","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"638","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"639","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"640","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week"
"641","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"642","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"643","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"644","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"645","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"646","(3) 51 to 75 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"647","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"648","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"649","(4) 76 percent or more","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"650","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"651","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"652","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"653","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"654","(1) 25 percent or less","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"655","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"656","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"657","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"658","(4) 76 percent or more","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"659","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"660","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"661","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"662","(3) 51 to 75 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"663","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"664","(2) 26 to 50 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"665","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"666","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"667","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"668","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"669","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"670","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"671","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"672","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"673","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"674","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"675","(1) 25 percent or less","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"676","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"677","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"678","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"679","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"680","(3) 51 to 75 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"681","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"682","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(1) Every day","(5) Not at all"
"683","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"684","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"685","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"686","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"687","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"688","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"689","(3) 51 to 75 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"690","(3) 51 to 75 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(2) 3 or 4 times a week"
"691","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"692","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all"
"693","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"694","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"695","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"696","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"697","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"698","(4) 76 percent or more","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"699","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"700","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"701","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"702","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"703","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"704","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"705","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"706","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(4) Less than once a week"
"707","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"708","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"709","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"710","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"711","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"712","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"713","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(4) Less than once a week"
"714","(4) 76 percent or more","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"715","(4) 76 percent or more","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"716","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"717","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"718","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"719","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"720","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"721","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"722","(3) 51 to 75 percent","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"723","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"724","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"725","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"726","(3) 51 to 75 percent","(1) Every day","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"727","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"728","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"729","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"730","(4) 76 percent or more","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"731","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"732","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"733","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"734","(2) 26 to 50 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"735","(4) 76 percent or more","(4) Less than once a week","(1) Every day","(5) Not at all","(5) Not at all"
"736","(4) 76 percent or more","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"737","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"738","(2) 26 to 50 percent","(3) Once or twice a week","(1) Every day","(5) Not at all","(5) Not at all"
"739","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"740","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"741","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"742","(3) 51 to 75 percent","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"743","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"744","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"745","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"746","(3) 51 to 75 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"747","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"748","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"749","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"750","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"751","(1) 25 percent or less","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"752","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"753","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"754","(2) 26 to 50 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"755","(4) 76 percent or more","(3) Once or twice a week","(1) Every day","(3) Once or twice a week","(5) Not at all"
"756","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"757","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"758","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"759","(4) 76 percent or more","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"760","(1) 25 percent or less","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"761","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"762","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"763","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"764","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"765","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"766","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"767","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"768","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"769","(2) 26 to 50 percent","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"770","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"771","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"772","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"773","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"774","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"775","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"776","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"777","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"778","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"779","(4) 76 percent or more","(5) Not at all","(5) Not at all","(3) Once or twice a week","(3) Once or twice a week"
"780","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"781","(2) 26 to 50 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
